"""X"",""Y"",""OBJECTID"",""src_geo"",""clc_quartier"",""clc_secteur"",""id_arbre"",""haut_tot"",""haut_tronc"",""tronc_diam"",""fk_arb_etat"",""fk_stadedev"",""fk_port"",""fk_pied"",""fk_situation"",""age_estim"",""villeca"",""feuillage"",""remarquable"",""lng"",""lat"""
"1718909.1109,8292797.8621,54,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""27"",10,4,165,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.26283298917162,49.8341271657944"
"1718846.1499,8292753.6708,55,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""28"",11,4,140,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.26195573085169,49.8337318213635"
"1718807.0011,8292726.3129,56,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""29"",11,3,142,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.26141026936849,49.833487073954"
"1718791.6312,8292715.199,57,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""30"",11,4,140,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.2611961037021,49.8333876302797"
"1718692.422,8292643.6687,58,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""31"",11,4,160,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25981374389317,49.8327475990727"
"1718679.5121,8292634.6451,59,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""32"",10,4.5,110,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25963387627693,49.8326668696287"
"1718665.8574,8292624.3304,60,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""33"",10,2,125,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25944359575298,49.8325745551759"
"1718655.6001,8292616.8733,61,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""34"",9,2,138,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.2593006728614,49.8325078273023"
"1718627.7888,8292597.622,62,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""35"",10,3,125,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25891320433952,49.8323356021702"
"1718608.5959,8292583.6598,63,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""36"",10,2,115,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.25864577737035,49.8322106634016"
